trans_dt,store_location_key,product_key,sales,units,trans_key
9/24/15,8142,5650035775,14.22,1,4.19E+24
12/5/15,8142,6170091252,26.68,1,1.76E+26
12/31/15,8142,6260095924,48.04,1,4.67E+24
11/11/15,8142,4203710305,22.23,1,3.46E+24
9/4/15,8142,1.00E+15,47.72,1,4.11E+24
11/28/15,8142,1.00E+15,0,1,4.52E+24
8/28/15,8142,1.00E+15,0,1,3.15E+24
5/15/15,8142,1.00E+15,0,1,3.54E+24
4/4/15,8142,1.00E+15,0,1,3.30E+24
7/10/15,8142,1.00E+15,0,1,1.70E+26
5/23/15,8142,3700028252,11.2,1,1.68E+26
8/28/15,8142,1.00E+15,0,1,4.07E+24
7/9/15,8142,1.00E+15,14.63,2,3.82E+24
4/20/15,8142,7094201840,9.77,1,3.39E+24
11/23/15,8142,78616265003,5.14,1,1.76E+26
5/5/15,8142,3700018145,11.55,1,3.48E+24
6/24/15,8142,77105810231,16.89,1,2.92E+24
8/22/15,8142,1.00E+15,0,1,1.72E+26
4/30/15,8142,6285176400,2.47,1,2.70E+25
9/10/15,8142,6714000433,14.22,1,1.72E+26
12/7/15,8142,80490600302,5.34,1,3.57E+24
7/9/15,8142,6490040941,5.86,1,1.70E+26
8/26/15,8142,77105840234,3.01,1,1.72E+26
12/12/15,8142,77105810220,14.22,1,3.59E+25
6/25/15,8142,41600077789,0,1,1.69E+25
10/5/15,8142,6290066190,30.24,1,1.74E+26
1/30/16,8142,6700000462,5.32,1,3.80E+25
7/7/15,8142,1.00E+15,39.69,1,3.81E+24
12/5/15,8142,7830006921,10.66,1,3.56E+25
11/8/15,8142,81408111030,10.66,1,1.75E+26
10/30/15,8142,1.00E+15,0,1,3.42E+24
12/2/15,8142,7830007014,11.2,1,4.53E+24
12/4/15,8142,6349108331,15.13,1,1.76E+26
9/1/15,8142,6700000463,9.93,2,3.16E+24
7/11/15,8142,1.00E+15,58.01,1,3.83E+24
3/31/15,8142,1.00E+15,0,1,3.28E+24
11/6/15,8142,7000061910,9.77,1,3.44E+24
6/13/15,8142,1.00E+15,0,1,2.87E+25
10/17/15,8142,4319418500,7.1,1,3.38E+25
10/2/15,8142,1.00E+15,0,1,4.23E+24
12/30/15,8142,1.00E+15,7.32,1,4.66E+24
9/19/15,8142,5770021957,3.19,1,3.26E+25
10/8/15,8142,80490600302,16.02,3,1.74E+26
12/6/15,8142,1.00E+15,0,1,1.76E+26
4/27/15,8142,77105804865,46.26,1,1.68E+25
12/14/15,8142,77105811371,29.17,11,1.77E+26
5/21/15,8142,77917013730,52.49,1,3.56E+24
4/30/15,8142,41410000216,49.84,1,1.68E+26
8/14/15,8142,80490600305,26.7,5,3.12E+25
1/18/16,8142,1.00E+15,0,1,4.75E+24
4/16/15,8142,6700000320,4.61,1,1.67E+26
7/5/15,8142,3660207917,9.77,1,1.70E+26
7/16/15,8142,77105890004,9.77,1,3.00E+24
7/22/15,8142,3700030662,20.45,1,1.70E+25
12/22/15,8142,1.00E+15,116.04,1,4.63E+24
9/9/15,8142,1.00E+15,36.51,1,4.12E+23
7/19/15,8142,5650008806,25.79,1,3.86E+24
8/1/15,8142,77105840224,3.54,1,3.08E+25
7/9/15,8142,1.00E+15,124.23,1,3.82E+24
11/5/15,8142,77105810927,12.98,1,1.75E+25
5/14/15,8142,77105840016,6.75,1,2.76E+25
12/1/15,8142,1.00E+15,3.56,1,4.53E+23
7/22/15,8142,62792566661,17.8,1,3.03E+23
11/2/15,8142,6700000427,6.03,1,1.75E+26
6/9/15,8142,2270046975,13.87,1,1.69E+26
4/25/15,8142,1204404026,17.78,1,2.67E+24
9/14/15,8142,1.00E+15,7.32,1,4.14E+24
9/13/15,8142,7830007021,17.78,1,1.73E+26
9/22/15,8142,80490600504,8.9,1,1.73E+26
5/16/15,8142,5800031006,13.87,1,1.68E+26
12/27/15,8142,1.00E+15,0,1,3.66E+25
4/25/15,8142,1.00E+15,7.32,1,3.42E+24
1/23/16,8142,2120072977,6.75,1,4.77E+24
11/11/15,8142,1.00E+15,0,1,4.44E+24
4/25/15,8142,1.00E+15,0,1,3.42E+24
5/1/15,8142,62785200005,1.78,1,2.70E+25
10/31/15,8142,1.00E+15,0,1,4.38E+24
12/8/15,8142,1.00E+15,0,1,4.57E+24
12/6/15,8142,7940035038,20.45,1,3.57E+25
10/13/15,8142,1.00E+15,0,1,4.28E+24
8/10/15,8142,4111600527,3.01,1,3.09E+24
3/31/15,8142,77105840094,5.32,1,1.67E+25
4/10/15,8142,77105880122,3.52,2,2.61E+24
4/11/15,8142,1.00E+15,7.32,1,3.34E+24
5/23/15,8142,84105803717,28.46,1,1.68E+26
5/25/15,8142,6285152934,2.47,1,2.81E+25
8/11/15,8142,80490600305,5.34,1,3.10E+24
7/24/15,8142,1.00E+15,0,1,3.89E+24
10/24/15,8142,5770021957,3.19,1,3.40E+25
7/24/15,8142,5610004598,8.53,1,1.70E+25
7/20/15,8142,1.00E+15,0,2,3.87E+24
12/2/15,8142,80490600305,5.34,1,1.76E+26
5/26/15,8142,1.00E+15,0,7,3.59E+24
8/20/15,8142,3700086341,32.02,1,4.02E+24
1/26/16,8142,77105890003,2.12,1,1.79E+26
11/27/15,8142,1.00E+15,0,1,3.53E+24
12/3/15,8142,1.00E+15,0,1,4.54E+24
1/2/16,8142,1.00E+15,48.1,1,4.67E+24
9/13/15,8142,77105860237,14.2,2,3.22E+25
11/26/15,8142,78616265003,5.14,1,3.53E+24
1/30/16,8142,77105860140,7.1,1,4.81E+24
8/7/15,8142,3156850492,35.58,1,1.71E+26
10/24/15,8142,6132834212,17.78,1,3.40E+25
5/9/15,8142,72047366425,16,1,2.74E+25
6/30/15,8142,77105880035,1.58,1,2.95E+25
8/22/15,8142,62174534604,67.62,1,1.72E+26
4/28/15,8142,80490600302,5.34,1,2.69E+25
1/30/16,8142,1.00E+15,0,1,4.80E+24
7/10/15,8142,7336164736,10.66,1,2.98E+24
5/25/15,8142,1.00E+15,0,4,3.58E+24
10/24/15,8142,77105810465,12.44,1,1.74E+26
11/11/15,8142,7417034039,12.09,1,3.47E+24
12/9/15,8142,1.00E+15,0,1,4.57E+24
12/16/15,8142,4740007371,42.7,1,1.77E+25
12/15/15,8142,6349108331,15.13,1,1.77E+25
12/10/15,8142,1.00E+15,0,1,4.57E+24
9/4/15,8142,77105810345,25.79,1,4.11E+24
9/15/15,8142,1.00E+15,11.73,1,4.15E+24
6/11/15,8142,5650002416,23.12,1,3.67E+24
11/14/15,8142,1.00E+15,0,1,3.48E+25
10/7/15,8142,1.00E+15,0,1,4.26E+24
12/15/15,8142,1.00E+15,80.3,1,4.60E+24
6/12/15,8142,1.00E+15,0,1,3.67E+24
11/27/15,8142,1.00E+15,0,1,1.76E+25
11/25/15,8142,1.00E+15,0,1,4.50E+24
10/5/15,8142,5770022995,3.19,1,1.74E+25
10/29/15,8142,7511008320,24.9,1,1.75E+26
10/30/15,8142,1.00E+15,0,1,4.38E+23
6/17/15,8142,6210700550,49.82,1,3.70E+24
6/18/15,8142,7124912145,27.57,1,2.90E+24
6/7/15,8142,1.00E+15,0,1,1.69E+26
9/11/15,8142,1.00E+15,0,1,4.13E+24
7/11/15,8142,6024525055,51.6,1,1.70E+26
5/8/15,8142,41600000167,0.09,1,2.73E+25
11/5/15,8142,5960006064,5.86,1,1.75E+26
7/13/15,8142,5752171110,24.9,1,3.83E+24
4/25/15,8142,3.41E+12,19.56,1,3.42E+24
8/28/15,8142,1.00E+15,0,1,4.07E+23
5/2/15,8142,6285176400,2.47,1,2.71E+25
8/8/15,8142,1.00E+15,0,1,3.09E+25
12/7/15,8142,1.00E+15,0,1,4.56E+24
8/7/15,8142,1.00E+15,0,1,1.71E+26
1/24/16,8142,1125000024,8.88,1,1.79E+26
11/7/15,8142,6170093252,26.68,1,1.75E+26
8/29/15,8142,5849642353,7.64,1,1.72E+26
7/20/15,8142,1.00E+15,14.83,1,3.87E+24
10/27/15,8142,5639431013,46.26,1,4.36E+24
5/30/15,8142,1.00E+15,0,1,2.83E+24
5/15/15,8142,77105810488,19.56,1,2.77E+25
8/17/15,8142,1.00E+15,8.9,1,4.01E+24
8/14/15,8142,1.00E+15,21.61,1,3.99E+24
5/4/15,8142,1150900164,12.98,1,3.47E+24
8/22/15,8142,1.00E+15,0,1,1.72E+26
5/2/15,8142,77105860257,5.32,1,3.47E+24
1/26/16,8142,1.00E+15,0,1,4.79E+24
12/23/15,8142,41410000221,17.36,1,1.77E+25
9/29/15,8142,1.00E+15,64.77,1,4.22E+24
9/29/15,8142,77105860095,6.21,1,4.22E+24
5/17/15,8142,7033060315,12.44,1,2.78E+25
10/16/15,8142,1.00E+15,0,1,4.30E+24
12/10/15,8142,6580006247,1.94,1,3.58E+23
11/26/15,8142,77105810877,7.1,1,4.51E+24
10/1/15,8142,77105810359,15.65,1,1.73E+26
5/8/15,8142,6454131361,33.8,1,1.68E+26
3/31/15,8142,5770022997,6.37,2,2.56E+24
7/11/15,8142,6120008445,3.36,1,1.70E+26
8/4/15,8142,3165553007,10.31,1,1.71E+26
1/22/16,8142,60308426020,14.22,1,1.78E+26
9/28/15,8142,77105810009,13.87,1,3.30E+24
4/30/15,8142,77105806247,11.55,1,3.45E+24
4/2/15,8142,80490600301,5.34,1,2.58E+24
8/6/15,8142,1.00E+15,11.87,1,3.95E+24
10/22/15,8142,5770061849,8.15,2,4.33E+24
7/24/15,8142,85172200078,14.76,1,3.04E+24
11/24/15,8142,1.00E+15,0,1,4.49E+24
11/17/15,8142,1.00E+15,0,1,1.76E+25
5/5/15,8142,1.00E+15,55.02,1,3.48E+24
7/23/15,8142,77105811218,11.2,1,1.70E+25
10/14/15,8142,77105807138,19.56,1,1.74E+26
1/27/16,8142,5847810697,30.24,1,3.78E+23
5/2/15,8142,5847847252,13.87,1,3.46E+24
4/4/15,8142,7732610140,13.87,1,2.58E+25
8/8/15,8142,1.00E+15,0,1,3.96E+24
4/17/15,8142,6260096191,32.91,1,3.37E+23
9/18/15,8142,3700087096,10.66,1,3.25E+24
12/5/15,8142,4.99E+12,7.99,1,3.56E+24
12/21/15,8142,6210000157,6.03,1,4.63E+24
10/5/15,8142,1.00E+15,0,1,1.74E+25
10/11/15,8142,1.00E+15,0,1,3.36E+25
4/5/15,8142,6009331854,24.9,1,1.67E+26
12/22/15,8142,72047307475,11.55,1,3.63E+25
8/25/15,8142,6700000175,5.86,1,1.72E+26
9/24/15,8142,6800000113,3.19,1,1.73E+26
9/17/15,8142,1.00E+15,0,1,4.16E+24
9/4/15,8142,77105810094,31.13,1,4.11E+24
10/26/15,8142,4740013071,11.2,1,3.40E+24
4/9/15,8142,1.00E+15,15.56,2,3.33E+23
10/4/15,8142,4740015687,51.6,1,1.74E+26
7/16/15,8142,41410000216,49.84,1,1.70E+26
10/1/15,8142,4740013071,10.66,1,3.31E+24
11/20/15,8142,60308424372,14.22,1,3.50E+24
4/19/15,8142,1.00E+15,0,1,2.65E+25
5/8/15,8142,6260006229,22.23,1,1.68E+26
7/5/15,8142,80490600301,5.34,1,1.70E+26
11/1/15,8142,1.00E+15,0,1,1.75E+26
11/12/15,8142,1.00E+15,0.89,1,4.44E+24
12/9/15,8142,80490600302,5.34,1,3.57E+23
5/29/15,8142,1.00E+15,0,1,1.68E+26
11/19/15,8142,4740013190,26.68,1,1.76E+25
5/13/15,8142,7094212536,4.79,1,2.76E+25
10/6/15,8142,1.00E+15,7.32,1,4.25E+23
9/6/15,8142,77105840234,3.01,1,1.72E+26
4/19/15,8142,1.00E+15,0,2,3.39E+24
8/27/15,8142,41410000221,17.36,1,4.06E+23
7/9/15,8142,5849638665,7.64,1,3.82E+24
8/15/15,8142,6349108331,15.13,1,3.12E+25
7/9/15,8142,1.00E+15,0,4,3.81E+24
8/27/15,8142,80490600305,10.68,2,3.15E+24
12/10/15,8142,1.00E+15,0,1,4.58E+24
4/28/15,8142,1.00E+15,0,1,1.68E+26
10/6/15,8142,77105890009,14.22,1,3.33E+24
5/9/15,8142,77105840354,7.1,1,3.51E+24
12/30/15,8142,1.00E+15,0,-1,1.78E+26
4/23/15,8142,1.00E+15,25.74,2,3.41E+24
4/9/15,8142,1.00E+15,0,1,3.33E+24
8/17/15,8142,1.00E+15,21.68,1,4.00E+24
7/16/15,8142,6132834208,14.22,1,3.00E+24
8/27/15,8142,1.00E+15,0,-1,3.14E+23
12/21/15,8142,7116402985,6.21,1,3.63E+24
10/5/15,8142,1.00E+15,0,1,4.25E+24
4/18/15,8142,80490600302,5.34,1,1.67E+26
11/1/15,8142,6210000000,5.32,1,3.42E+24
9/25/15,8142,1.00E+15,0,1,3.28E+24
9/3/15,8142,77105810491,7.1,1,3.18E+24
4/30/15,8142,1.00E+15,124.56,2,3.45E+24
6/11/15,8142,77105890016,4.24,2,2.87E+25
4/28/15,8142,1.00E+15,7.32,1,3.43E+23
12/11/15,8142,41410000215,24.92,1,1.77E+26
11/21/15,8142,35388500866,17.78,1,4.48E+24
11/25/15,8142,6700000462,5.32,1,1.76E+26
4/22/15,8142,77105811019,31.29,2,2.66E+25
5/9/15,8142,1.00E+15,0,1,3.50E+24
5/26/15,8142,77105860024,5.32,1,2.82E+25
6/5/15,8142,80490600201,3.56,1,1.69E+26
12/23/15,8142,1.00E+15,54.09,1,4.64E+24
10/25/15,8142,1.00E+15,0,1,3.40E+25
8/19/15,8142,1.00E+15,23.12,1,4.02E+24
6/8/15,8142,6210700502,27.57,1,3.65E+24
5/28/15,8142,4138800059,9.42,1,1.68E+26
6/6/15,8142,1.00E+15,0,1,1.69E+26
11/30/15,8142,1.00E+15,0,1,4.52E+24
12/10/15,8142,5873832551,9.77,1,3.58E+24
11/22/15,8142,6845991972,23.12,1,3.51E+25
4/2/15,8142,1.00E+15,0,1,1.67E+25
6/16/15,8142,77105890009,14.22,1,2.88E+24
9/10/15,8142,1.00E+15,0,-1,3.20E+24
7/10/15,8142,77105880122,1.76,1,1.70E+26
9/29/15,8142,77105810008,12.09,1,3.30E+24
10/20/15,8142,80490600305,5.34,1,3.39E+24
7/21/15,8142,1.00E+15,38.79,4,3.87E+23
8/26/15,8142,1.00E+15,0,1,4.06E+24
7/9/15,8142,1.00E+15,0,1,3.82E+24
4/22/15,8142,2270012993,21.34,1,1.67E+25
9/24/15,8142,5610077433,15.65,1,1.73E+25
9/1/15,8142,80490600503,8.9,1,3.17E+24
8/4/15,8142,4740019248,10.66,1,1.71E+26
5/24/15,8142,77105810776,29.35,1,3.57E+24
10/28/15,8142,6343571103,3.19,1,3.41E+23
6/11/15,8142,1.00E+15,7.32,1,3.67E+24
12/4/15,8142,1.00E+15,0,1,4.55E+24
12/8/15,8142,1.00E+15,39.94,1,4.57E+24
11/10/15,8142,8307811115,8.53,1,1.75E+26
4/27/15,8142,77105802272,8.53,1,1.68E+25
4/11/15,8142,7099235056,23.12,1,3.34E+24
9/6/15,8142,8390000626,4.97,1,4.11E+24
4/2/15,8142,9.78E+12,7.99,1,2.58E+24
4/8/15,8142,6830525074,10.31,1,2.60E+25
7/9/15,8142,77105860046,4.97,1,1.70E+26
8/10/15,8142,77105810243,20.45,1,3.97E+24
7/30/15,8142,5659481383,21.34,1,3.07E+25
9/18/15,8142,30997861101,21.34,1,1.73E+25
8/14/15,8142,1.00E+15,7.32,1,3.99E+24
1/13/16,8142,7830007014,11.2,1,3.73E+25
10/3/15,8142,1.00E+15,21.34,1,4.24E+24
7/8/15,8142,77105810398,9.42,1,3.81E+24
8/17/15,8142,77105811062,7.99,1,3.13E+25
12/28/15,8142,7094212123,7.1,1,3.66E+25
5/16/15,8142,77105810243,20.45,1,2.77E+25
12/21/15,8142,62058445677,23.12,1,1.77E+25
8/30/15,8142,5770024354,10.31,1,1.72E+26
8/26/15,8142,80490600305,5.34,1,1.72E+26
7/10/15,8142,41410000215,24.92,1,1.70E+26
12/21/15,8142,1.00E+15,76.17,1,4.62E+24
8/7/15,8142,1.00E+15,53.38,1,3.96E+24
4/4/15,8142,69907370825,153.06,1,3.30E+24
10/11/15,8142,77105810524,9.77,1,1.74E+26
9/2/15,8142,77105810485,9.77,1,4.09E+24
9/13/15,8142,77105880123,1.76,1,4.14E+24
11/20/15,8142,5847811094,40.92,1,1.76E+26
7/21/15,8142,3700089086,20.45,1,3.02E+24
10/24/15,8142,1.00E+15,0,1,3.40E+25
5/6/15,8142,3700063704,15.65,1,2.73E+25
5/1/15,8142,72047345579,5.32,1,2.70E+25
4/29/15,8142,1.00E+15,7.32,1,3.44E+24
4/18/15,8142,6081504293,24.88,2,2.64E+24
6/13/15,8142,6260014232,28.46,1,1.69E+26
12/22/15,8142,77105860192,13.33,1,1.77E+25
12/8/15,8142,6490040965,4.97,1,1.77E+25
4/13/15,8142,1.00E+15,0,2,3.35E+24
9/14/15,8142,1.00E+15,0,1,4.14E+23
10/1/15,8142,6210790431,32.02,1,4.23E+24
8/27/15,8142,1.00E+15,5.34,1,3.15E+24
8/5/15,8142,6210718960,32.02,1,3.95E+24
4/29/15,8142,38137003662,16.89,1,1.68E+26
5/26/15,8142,77105840175,32.91,1,2.82E+25
8/5/15,8142,1.00E+15,0,1,3.95E+24
9/15/15,8142,1.00E+15,35.6,3,3.23E+24
11/1/15,8142,80490600502,8.9,1,1.75E+26
11/3/15,8142,77105810422,14.22,1,1.75E+25
10/20/15,8142,6700000464,5.32,1,1.74E+25
10/9/15,8142,5849689900,4.97,1,1.74E+26
10/3/15,8142,62174534604,67.62,1,4.24E+24
9/14/15,8142,5610007505,22.23,1,3.23E+25
4/12/15,8142,41410000215,24.92,1,1.67E+26
5/28/15,8142,89299200231,9.77,1,1.68E+26
6/19/15,8142,77105880046,2.65,1,1.69E+25
9/30/15,8142,77105840234,3.01,1,3.30E+24
1/21/16,8142,1.00E+15,7.32,1,1.78E+25
8/4/15,8142,5650012055,14.22,1,3.08E+25
9/4/15,8142,1.00E+15,0,1,4.11E+24
10/7/15,8142,6363600600,12.44,1,4.26E+24
4/17/15,8142,1.00E+15,0,1,1.67E+26
10/29/15,8142,75167201052,33.8,1,1.75E+26
8/1/15,8142,5854201046,5.32,1,3.93E+23
9/15/15,8142,5800000342,6.75,1,3.23E+25
8/29/15,8142,1.00E+15,50.53,1,4.08E+24
12/4/15,8142,1.00E+15,0,1,4.54E+24
11/19/15,8142,77105890051,7.1,1,3.50E+24
12/13/15,8142,1.00E+15,0,1,4.59E+24
6/13/15,8142,1.00E+15,33.18,1,3.68E+24
6/13/15,8142,77105840074,7.99,1,1.69E+26
9/17/15,8142,5659400430,16.89,1,4.16E+24
12/28/15,8142,77105840016,7.1,1,1.77E+26
4/11/15,8142,1.00E+15,0,1,3.34E+24
7/31/15,8142,7418228301,14.76,1,3.07E+25
10/22/15,8142,1.00E+15,0,1,4.33E+24
11/30/15,8142,77105810448,9.42,1,3.54E+24
10/25/15,8142,6454131886,51.6,1,1.74E+26
4/28/15,8142,1.00E+15,81.63,1,3.44E+24
4/8/15,8142,1.00E+15,0,-1,2.60E+25
4/28/15,8142,76379594011,6.57,1,2.69E+25
12/15/15,8142,77105810345,26.68,1,1.77E+25
9/30/15,8142,77105890003,2.12,1,3.30E+24
5/15/15,8142,1.00E+15,0,1,3.54E+24
5/29/15,8142,5847847263,17.78,1,2.83E+24
9/4/15,8142,77105840328,51.6,1,4.10E+24
8/18/15,8142,1.00E+15,0,1,3.13E+23
8/21/15,8142,80490600302,5.34,1,1.71E+25
7/15/15,8142,41410000221,17.36,1,2.99E+24
10/14/15,8142,6700010668,6.03,1,3.36E+24
12/26/15,8142,5847811094,40.92,1,4.65E+24
4/5/15,8142,5980000055,2.3,1,1.67E+26
12/15/15,8142,1.00E+15,7.32,1,4.60E+24
11/25/15,8142,1.00E+15,0,1,4.50E+24
1/17/16,8142,5800031208,6.21,1,3.75E+25
7/15/15,8142,41410000222,69.42,2,2.99E+24
11/5/15,8142,5847810775,10.66,1,3.43E+24
9/2/15,8142,77105810096,55.16,1,1.72E+25
9/23/15,8142,77105890007,0.87,1,3.27E+23
6/26/15,8142,77105811292,21.34,1,1.69E+26
4/27/15,8142,6574332809,39.14,1,2.68E+25
5/16/15,8142,1.00E+15,0,1,2.77E+25
12/4/15,8142,77105810774,17.78,1,4.54E+24
7/11/15,8142,6210000000,4.97,1,2.98E+25
10/30/15,8142,6565620121,8.88,1,1.75E+26
4/9/15,8142,1.00E+15,0,1,3.33E+24
8/29/15,8142,77105811028,19.56,1,3.15E+25
8/1/15,8142,72047319870,7.99,1,3.07E+25
6/21/15,8142,1.00E+15,0,2,3.72E+24
12/21/15,8142,1.00E+15,7.32,1,4.62E+23
11/20/15,8142,1.00E+15,0,1,1.76E+26
8/30/15,8142,1.00E+15,7.32,1,4.08E+24
10/29/15,8142,3700030563,13.33,1,3.41E+23
11/24/15,8142,7214089057,17.78,1,1.76E+25
9/3/15,8142,1.00E+15,0,1,4.09E+23
5/23/15,8142,77105890016,2.12,1,1.68E+26
4/24/15,8142,77105890009,14.22,1,2.67E+24
7/31/15,8142,3700089086,20.45,1,3.07E+25
6/18/15,8142,62005870145,12.37,1,3.71E+24
6/30/15,8142,4111600595,3.9,1,1.70E+25
11/17/15,8142,7301000130,23.12,1,3.49E+24
12/13/15,8142,6210700610,19.56,1,1.77E+26
9/23/15,8142,6009326517,30.24,1,1.73E+25
10/8/15,8142,77105840105,7.1,1,3.34E+24
12/1/15,8142,2710000908,12.44,1,1.76E+26
6/6/15,8142,6260096288,30.24,1,2.86E+25
10/23/15,8142,1.00E+15,9.26,1,4.34E+24
12/10/15,8142,7124921877,30.24,1,3.58E+24
8/22/15,8142,1.00E+15,0,1,4.04E+24
10/24/15,8142,6132834212,17.78,1,1.74E+26
6/8/15,8142,7940007486,11.2,1,1.69E+26
6/1/15,8142,72225212004,4.97,1,2.84E+24
6/2/15,8142,1.00E+15,0,1,3.62E+24
8/27/15,8142,80490600502,8.9,1,3.15E+24
4/27/15,8142,1.00E+15,0,2,3.43E+24
5/26/15,8142,6700000462,4.97,1,2.82E+25
9/10/15,8142,6202002082,5.86,1,3.20E+25
11/17/15,8142,77105810189,6.21,1,3.49E+24
5/3/15,8142,5621998114,24.01,1,2.71E+25
10/7/15,8142,80490600302,10.68,2,3.34E+24
10/9/15,8142,1.00E+15,0,1,3.35E+23
7/10/15,8142,1.00E+15,0,1,3.82E+24
12/7/15,8142,1.00E+15,0,1,4.56E+24
11/13/15,8142,1.00E+15,0,1,4.45E+24
7/12/15,8142,80490600302,5.34,1,1.70E+26
10/5/15,8142,1.00E+15,0,1,4.24E+23
11/29/15,8142,77105807418,19.56,1,1.76E+26
8/21/15,8142,1.00E+15,0,1,4.03E+24
7/14/15,8142,9492287699,27.57,1,2.99E+24
4/16/15,8142,77105810447,9.77,1,2.63E+24
8/7/15,8142,1.00E+15,0,1,1.71E+26
4/10/15,8142,1.00E+15,0,1,2.61E+24
9/16/15,8142,1.00E+15,0,1,4.15E+24
8/29/15,8142,1.00E+15,0,1,4.08E+24
9/26/15,8142,1.00E+15,0,1,1.73E+26
7/5/15,8142,6905582418,62.28,1,3.79E+24
4/13/15,8142,1.00E+15,7.32,1,3.35E+24
11/20/15,8142,1.00E+15,0,1,3.50E+24
10/2/15,8142,7830007008,17.78,1,1.73E+26
5/31/15,8142,72047345021,11.55,1,1.68E+26
1/28/16,8142,1.00E+15,7.32,1,4.79E+24
7/17/15,8142,77105810189,5.86,1,1.70E+26
8/8/15,8142,62572061556,10.66,1,3.96E+24
1/19/16,8142,62597201244,30.24,1,1.78E+26
4/2/15,8142,1.00E+15,0,1,3.29E+24
10/23/15,8142,77105890009,14.22,1,4.33E+24
12/6/15,8142,1.00E+15,0,1,3.56E+25
5/29/15,8142,77105810189,5.86,1,1.68E+26
8/29/15,8142,1.00E+15,0,1,4.07E+24
8/13/15,8142,1.00E+15,0,1,3.99E+24
8/1/15,8142,6490000044,3.54,1,3.07E+25
12/4/15,8142,1.00E+15,4.36,1,1.76E+26
12/1/15,8142,77105840016,7.1,1,1.76E+26
12/5/15,8142,5980000011,3.36,1,1.76E+26
12/19/15,8142,4154000529,7.1,1,1.77E+26
12/2/15,8142,1.00E+15,7.32,1,4.53E+23
12/31/15,8142,1.00E+15,14.76,1,1.78E+26
11/13/15,8142,1.00E+15,0,1,1.75E+26
